,X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
1,-3.39E+00,1.13E+01,4.99E+00,2.92E+02
2,-3.29E+00,1.13E+01,5.08E+00,2.92E+02
3,-3.28E+00,1.13E+01,4.86E+00,2.92E+02
4,-3.09E+00,1.12E+01,5.00E+00,2.92E+02
5,-7.82E+00,1.21E+01,5.12E+00,2.92E+02
6,-7.95E+00,1.21E+01,5.18E+00,2.92E+02
7,-7.77E+00,1.20E+01,5.29E+00,2.92E+02
8,-7.62E+00,1.20E+01,5.12E+00,2.92E+02
9,8.36E-01,1.05E+01,4.62E+00,2.92E+02
10,9.35E-01,1.05E+01,4.75E+00,2.92E+02
11,9.94E-01,1.05E+01,4.55E+00,2.92E+02
12,1.13E+00,1.05E+01,4.72E+00,2.92E+02
13,5.64E+00,9.68E+00,3.96E+00,2.92E+02
14,5.62E+00,9.69E+00,4.12E+00,2.92E+02
15,5.55E+00,9.70E+00,3.86E+00,2.92E+02
16,5.42E+00,9.72E+00,4.03E+00,2.92E+02
17,-7.65E+00,-1.20E+01,5.24E+00,2.92E+02
18,-7.74E+00,-1.20E+01,5.33E+00,2.92E+02
19,-7.77E+00,-1.20E+01,5.12E+00,2.92E+02
20,-7.95E+00,-1.21E+01,5.25E+00,2.92E+02
21,8.46E-01,-1.05E+01,4.62E+00,2.92E+02
22,9.87E-01,-1.05E+01,4.55E+00,2.92E+02
23,9.66E-01,-1.05E+01,4.76E+00,2.92E+02
24,1.16E+00,-1.05E+01,4.57E+00,2.92E+02
25,5.45E+00,-9.72E+00,4.00E+00,2.92E+02
26,5.42E+00,-9.72E+00,3.87E+00,2.92E+02
27,5.62E+00,-9.69E+00,3.97E+00,2.92E+02
28,5.47E+00,-9.71E+00,4.15E+00,2.92E+02
29,-3.32E+00,-1.13E+01,4.94E+00,2.92E+02
30,-3.19E+00,-1.12E+01,4.92E+00,2.92E+02
31,-3.35E+00,-1.13E+01,5.09E+00,2.92E+02
32,-3.08E+00,-1.12E+01,4.92E+00,2.92E+02
33,-1.04E+01,-2.75E+00,6.76E+00,2.95E+02
34,-1.04E+01,-2.61E+00,6.76E+00,2.95E+02
35,-1.04E+01,-2.91E+00,6.76E+00,2.95E+02
36,-1.06E+01,-2.75E+00,6.76E+00,2.95E+02
37,-1.02E+01,-2.75E+00,6.76E+00,2.95E+02
38,-1.02E+01,-2.55E+00,6.76E+00,2.95E+02
39,-1.04E+01,-2.39E+00,6.76E+00,2.95E+02
40,-1.06E+01,-2.48E+00,6.76E+00,2.95E+02
41,-1.05E+01,-3.02E+00,6.76E+00,2.95E+02
42,-1.03E+01,-3.07E+00,6.76E+00,2.96E+02
43,-1.07E+01,-2.59E+00,6.76E+00,2.96E+02
44,-1.08E+01,-2.87E+00,6.76E+00,2.97E+02
45,-1.01E+01,-2.93E+00,6.76E+00,2.95E+02
46,-9.99E+00,-2.71E+00,6.76E+00,2.95E+02
47,-1.00E+01,-2.51E+00,6.76E+00,2.95E+02
